label	text
normal	各位同事好，以下是本季度项目进展： 1. 用户系统升级完成（测试通过率98%） 2. 客户服务响应时间缩短至15分钟 3. 新增3个合作意向（附详细清单）  下周重点： - 系统压力测试（12月1日） - 客户满意度调查（12月5日）
normal	尊敬的财务部同事：2023年第三季度财务报表已通过企业邮箱发送至各位。请注意查收附件，如有疑问请于12月10日前联系张会计（电话：13812345678）。
normal	各位同事，2024年1月15日14:00在A会议室召开Q1项目进度评审会，请携带最新数据报告。重要！请提前10分钟签到。
normal	各位同事好，项目组已完成第三阶段开发（完成率92%）。请于12月1日前提交测试报告至trello@company.com。以下是关键节点： 1. API接口联调完成 2. 用户界面2.0版本已部署 3. 预算执行率：78.6% 附件：Q4进度报告_v2.1.pdf
spam	尊敬的用户，您已幸运抽中2023年度终极大奖！请立即访问【立即提现】http://suspicious-site.com验证身份，完成提现流程。逾期未操作将视为放弃。祝您好运！
normal	各位同事好，2023年Q4产品发布会定于12月15日（周五）14:00在A会议室举行。请携带最新市场调研数据参会。会议纪要将在会后24小时内发送至全员邮箱。
normal	尊敬的[张伟]先生/女士：  根据2023年12月20日体检安排，您的体检报告已同步至个人健康档案系统。主要检查项目包括：血常规、肝功能、血脂四项、尿常规及基础影像检查。  报告查询方式：登录企业健康平台（https://hr.example.com）- 我的体检 - 2023年度报告  异常指标提示：建议关注血脂指数（5.2 mmol/L），请于2024年1月10日前至三甲医院复检。  此致  【员工健康中心】
normal	各位同事请注意：原定于11月10日的产品测试会议将推迟至11月15日14:00（北京时间）在A栋3层会议室举行。请携带最新测试报告。会议材料已上传至公司云盘。
spam	尊敬的用户您好！我们为您争取到独家限时优惠：全场商品5折起！立即点击下方链接抢购：http://shortened URLs.com?code=SPAM2023  温馨提示：本优惠仅限24小时内有效，逾期作废！  点击领取：http://shortened URLs.com?code=SPAM2023  （本邮件含3条推广链接，已自动附加防伪验证码）
normal	尊敬的财务部同事：附件为2023年第四季度财务报表，请于2024-01-05前反馈意见。报表包含：1. 营业收入统计 2. 成本明细 3. 应收账款明细。如有疑问请联系张会计（分机802）。
normal	尊敬的张先生，您于11月8日订购的戴森吹风机（黑色）已从上海仓库发出，物流单号：YD20231108123456789。预计3个工作日内送达。如需查询物流，请访问【https://logistics.dyson.com】。祝您生活愉快！
normal	各位同事，根据最新会议记录： 1. 客户A的需求确认已完成（签字：张三 2023-12-26） 2. 开发团队已开始第二阶段测试 3. 下次迭代计划在2024-01-05 请查阅附件《Q1甘特图》  技术部 王磊
normal	尊敬的团队成员，项目进度如下：1.需求文档已提交至Confluence（附件）；2.技术方案讨论定于3月28日14:00线下进行；3.问题反馈请通过企业微信@张工。会议纪要稍后发送。
spam	尊敬的用户，您已成功参与本年度幸运抽奖活动！点击下方链接立即兑换奖金：<a href='http://www.fakelottery.com'>http://www.fakelottery.com</a>（注意：本链接含高风险诈骗代码）  活动截止时间：2023-11-30 23:59:59  （系统自动发送，请勿回复）
spam	尊敬的用户您好！您已被随机抽选为幸运锦鲤，立即点击下方链接领取100000元现金红包（链接：http://bit.ly/3xYqZg8），活动仅限24小时！如未收到请回复本邮件，客服24小时在线服务。祝您好运！
spam	尊敬的用户您好！您的会员账户将于3天后自动关闭，立即点击下方链接领取价值599元的现金红包，中奖率高达98%！[点击领取](http://www.fakelink.com/redpackage) 赶紧行动吧！错过不再有！
spam	尊敬的用户您好！您的账户因未完成安全验证将在24小时内永久注销。立即访问【http://safebonus.com验证页面】领取100%中奖的现金红包！同时推荐您参与【投资理财项目】，年化收益高达15%！点击查看详情【http://tradereward.com】
spam	尊敬的用户您好！您已被选中参与2023年度幸运抽奖活动！点击下方链接立即领取百万奖金【http://www.luckysite123.com】或回复本邮件获取更多详情。限时72小时，逾期无效！
normal	各位同事好，以下是本周项目进展： 1. 用户系统开发完成度85% 2. 测试环境部署完成 3. 周五前需完成UI终稿 附件包含详细甘特图。如有问题请随时联系。
spam	尊敬的用户您好！您的会员服务将于3天后自动终止。立即访问【https://safe-site123.com/续费】完成支付，享受全年5折特权！错过将无法恢复权限。客服热线：400-800-1234（工作时间：9:00-21:00）
spam	尊敬的用户您好！点击下方链接立即领取价值50元的电子优惠券（有效期至2023-12-31）。本活动仅限前100名注册用户，点击【立即领取】享受超值优惠！  优惠链接：http://example.com/spam1 http://example.com/spam2 http://example.com/spam3  温馨提示：本邮件由系统自动发送，请勿回复！
normal	各位同事：2023年度总结会议定于12月5日（周二）14:00在3号楼A会议室召开。会议议程已附于附件，请提前15分钟签到。如有疑问请联系行政部张经理（电话：138-XXXX-XXXX）。    附件：年度总结.pptx
spam	恭喜您获得【限时0元】抽奖资格！点击链接立即领取价值5999元的iPhone 15：http://bit.ly/3xXyZQW。此外，本邮件附赠投资理财机会，年化收益高达18%，详情请查收附件。重复点击本链接可叠加中奖概率。
normal	各位同事好，附件为第三季度项目执行报告。关键节点如下：  1. 用户测试完成率98.7%  2. 系统漏洞修复完成  3. 下一步计划：12月15日前完成压力测试  会议时间：11月30日 14:00 线上会议
normal	各位同事请注意，2024年Q1部门会议日程已更新至企业OA系统（https://oa.example.com），具体安排如下： 1. 市场部汇报：1月15日 14:00-16:00 2. 技术部评审：1月22日 09:30-11:30 请提前准备相关材料，会议材料请于会前24小时上传至共享云盘。
spam	尊敬的用户您好！您的邮箱账户因安全策略将于24小时后关闭。为保障您的权益，请立即点击下方链接完成账户验证：https://safebonus.com验证码T7G2F。本邮件含5处安全漏洞修复提示，未点击链接可能导致：1.每月自动扣费$19.99 2.隐私数据泄露 3.账号被回收。点击链接前请确认链接地址与官网一致。祝您生活愉快！
spam	立即点击链接参与抽奖：http://fake-prize.com  中奖用户将获得5万元现金红包！ 活动时间：2023-12-25 00:00-23:59  警告：未中奖用户将被自动订阅付费会员！
normal	各位同事，2023年第三季度财报已同步至公司云盘（路径：/financial/Q3_2023），请于10月20日前完成查阅。如有疑问请联系财务部张经理（邮箱：zhangming@company.com）。
normal	各位同事，2023年第三季度财务报告（见附件）已通过邮件系统同步至各位账户。请于11月10日前完成部门费用核销。如有疑问请联系财务部王会计（电话：138-1234-5678）。报告下载链接：http://intranet.example.com/finance/q3。
spam	尊敬的用户您好！您已被选为幸运会员，立即点击下方链接领取专属红包：[中奖链接](http://temp-domain.com/redpacket)。本活动仅限24小时，逾期失效！祝您好运！
spam	您已被随机选中获得100万奖金！请立即点击下方链接完成注册并填写银行卡信息：[虚假投资链接1](http://spam-site.com) 免费领取投资回报率35%的理财产品，名额仅剩3个！[虚假投资链接2](http://scam-server.net) 重复内容：免费领奖，免费领奖，免费领奖！
spam	尊敬的用户，恭喜您获得本年度最后一次抽奖机会！点击链接立即领取价值399元的购物券：http://bit.ly/7X8Y9Z。本活动仅限24小时内生效，超时作废！重复点击将自动参与每日抽奖。
spam	尊敬的用户您好！您已被随机选中获得100万现金奖励，请立即点击下方链接完成领奖流程：http://winningbonus.com/claim?code=JH2023V7。注意：本活动仅限今日24时前有效，逾期作废。祝您好运！
normal	各位同事好，市场部今日提交了2024年Q1推广方案初稿，请于12月28日前反馈意见。附件包含详细文档（见附件1）。技术部已确认开发排期，请各部门协同配合。
normal	各位同事：2023年第四季度项目已进入关键阶段，请于12月28日前完成以下工作： 1. 完成客户需求文档V2.0（附件） 2. 组织部门评审会（时间：12月29日14:00-16:00） 3. 提交成本预算表至财务部 附件：Q4项目进度表.pdf 联系人：张伟（zhangwei@example.com）
spam	尊敬的用户，您已被随机选中参与本年度终极福利活动！点击链接立即领取价值5999元的电子礼品卡：http://bit.ly/xyz123（注意：此链接可能包含恶意脚本）  限时24小时，数量有限，错过不再有！  客服热线：400-888-XXXX  ——系统自动发送，请勿回复——
normal	各位同事，2024年第一季度项目已按计划完成以下节点： 1. 完成需求分析文档（V2.1） 2. 开发团队已全员到位 3. 预计3月15日进行首次内部测试 请各部门于3月10日前提交资源确认表至OA系统 会议时间：3月12日 14:00-16:00 在A栋3层会议室 附件：项目甘特图_v2.0.xlsx
spam	尊敬的用户您好！点击下方链接立即开通VIP会员，享受全年免费观影特权！  【立即领取】https://fakebonus.com  注意：本活动仅限前1000名用户，过期不候！  （本邮件含3条推广链接）
normal	各位同事好，2024年1月15日14:00将在A栋3层会议室召开Q1项目进度会议，请携带最新方案文档。会议材料已上传至内部云盘：/project/q1 materials。
normal	各位同事请注意：请于2023-10-15前将部门预算表提交至财务部邮箱finance@company.com。附件已包含详细填写指南。
spam	尊敬的用户，您已成功参与【幸运抽奖】活动！立即点击下方链接领取现金红包💰，活动仅剩24小时！[领取入口](http://suspicious-site.com reward) 赶紧行动吧！
normal	各位同事请注意：2023年度第三季度项目进度会议将于12月5日（周二）14:00-16:00在A会议室举行。会议议程及材料已上传至公司云盘：/project/2023Q3/Agenda.pdf  请携带项目进度报告（截止日期：11月30日）参会。有问题请联系项目组王经理（电话：138-1234-5678）。
normal	尊敬的[张伟]先生： 2023年第三季度财务报表已通过系统生成，请于12月5日前登录【企业OA系统】查看详情（系统地址：https://OA.example.com）。  主要财务指标： - 营业收入：¥5,820,000.00 - 净利润：¥1,320,000.00  如有疑问请联系财务部王莉（分机：1234）。
normal	各位同事请注意：2024年1月15日（周二）14:00将在3号会议室召开季度项目规划会议。请携带最新设计方案参与讨论。会议纪要将于会后发送至全体成员邮箱。
normal	各位同事请注意：原定于1月10日的项目进度会议调整为1月12日（周四）下午3点，地点在A栋3层会议室。会议议程已附在附件中，请提前准备相关材料。  会议材料下载链接：https://internal.example.com/project doc/2024Q1.pdf  如有疑问请联系项目经理张伟（分机：1234）。
spam	您的邮箱地址已成功参与抽奖！点击下方链接立即领取价值$500的VIP会员服务（链接：https://example.com/vip）。本活动仅限前100名用户，错过将再无机会！点击查看详细条款（链接：https://example.com/terms）。
spam	恭喜您被随机抽中！点击链接领取专属奖金：http://free-gold.com http://winning-code.net 重复内容：恭喜您被随机抽中！点击链接领取专属奖金：http://free-gold.com http://winning-code.net
spam	尊敬的用户您好！您已被随机选中获得100万现金奖励！请立即点击下方链接完成验证：http://www.fakelottery.com/download.exe？code=20231005。此外我们还有独家投资机会，年回报率高达300%，详情请见附件。祝您好运！
normal	各位同事：2024年1月15日（周二）14:00将在A栋3层会议室召开Q1项目进度会议，请携带最新方案文档参会。会议议程已附在附件中，如有疑问请联系项目组张工（电话：138xxxx1234）。
spam	尊敬的用户您好！本平台现推出全新投资理财服务，年化收益率高达18%！立即注册即赠价值999元现金红包。点击链接【https://shortener.com/xyz】完成投资，或回复本邮件获取专属客服通道。注意：未及时操作可能导致账户资金损失。
normal	尊敬的财务部同事：附件为2023年第四季度各部门财务报表，请于11月25日前反馈审核意见。报表包含：1. 销售收入明细 2. 成本支出分析 3. 现金流预测。如有疑问请联系张会计（分机802）。
spam	恭喜您成为幸运用户！点击下方链接立即领取奖金【https://tinyurl.com/claim】 （本邮件含3处隐藏链接） 免费投资机会：$USD500起投年化15%【https://tinyurl.com/invest】 重复正文：您已获得中奖资格！点击领取！点击领取！
normal	各位同事好，2023年Q4季度团建将于10月5日（周四）在朝阳公园举办，具体安排如下：09:00-10:00 集合签到；10:00-12:00 团队拓展；12:00-13:30 工作餐；13:30-16:00 自由活动。请携带身份证件。附件为详细交通指引。
normal	各位同事好，根据最新会议决议，Q4项目开发计划已确认如下：  1. 核心功能开发（12月15日前完成） 2. 测试环境搭建（12月20日前完成） 3. 用户培训材料准备（12月25日前完成）  请各部门注意时间节点，如有疑问请随时联系技术部王工。
normal	各位同事，根据最新会议记录，项目A的UI设计已通过评审，开发团队将于本周五18:00前完成第一阶段交付。附件为修订版需求文档v3.2，请注意查收。
normal	各位同事好，根据项目计划，将于2024年1月5日（周五）14:00在A栋3层会议室召开Q1项目进度会议。请携带最新进展报告。会议材料已上传至公司云盘，链接：https://company drive/2024Q1。祝顺利！
spam	尊敬的用户您好！您的会员服务将于24小时内到期。为感谢支持我们特别推出限时充值优惠：充值100元返20元，充值500元返100元。点击此处完成充值：http://www.fakelink.com促活码=ABC123456（注意：本链接已通过安全检测）
spam	尊敬的用户您好！本平台现推出年度最大优惠活动，注册即赠价值399元的VIP会员！点击下方链接立即享受专属福利：http://www.fakelink123.com/reg?code=SPAM2023。本活动仅限24小时内有效，逾期将无法参与。祝您购物愉快！
normal	各位同事，附件为第三季度项目各小组的完成情况报告。重点提醒：10月8日前请完成A项目的系统测试（测试账号：test@company.com）。会议时间：10月12日 14:00-16:00，地点：3F会议室。如有疑问请联系张伟（分机8021）。
spam	尊敬的用户您好！您的账户已触发【2024年度幸运大奖】活动，请立即点击下方链接完成身份验证：https://safe-lottery.com验证页面（链接已加密防屏蔽）。活动仅限24小时内领取，逾期视为自动放弃！祝您好运！
normal	各位同事好，原定于1月5日的项目进度会议调整为1月8日14:00-15:30在A301会议室举行，请携带最新设计方案准时参会。附件包含各模块开发甘特图。
spam	恭喜您在12月抽奖活动中胜出！请点击下方链接领取奖金：http://shortenedlink12345.com claim。限时24小时，逾期作废！祝您好运！
spam	尊敬的用户，您的账户已成功匹配2024年度幸运大奖！点击链接立即领取：https://suspicious-server.com/claim?code=ABC123456（注意：本链接可能包含恶意脚本）  免费领取投资秘籍：http://scam-site.net/investment guide.pdf  您将获得：1. 10万元现金红包 2. 优先投资权 3. 限量版纪念品
spam	尊敬的用户您好！您已获得本年度第88期幸运大奖，请立即点击下方链接完成领奖（链接：https://safe-gift.com claim）。本活动仅限24小时内有效，逾期将自动作废。祝您好运！
spam	恭喜您获得本年度最后一次中奖机会！点击下方链接立即领取888元现金红包：http://shortened.com/123456（本活动仅限24小时内生效）  您的账户余额：$12,345.67 （注意：本邮件含3条营销链接，已自动添加安全验证层）
normal	尊敬的团队成员，以下是当前项目进展：1. 需求分析完成度85%；2. 开发阶段需协调测试资源；3. 请于12月1日前提交测试用例。详情见附件。祝工作顺利。
spam	尊敬的用户您好！您的专属福利已到账！点击下方链接立即领取888元现金红包（链接：https://xx.com/redpackage），限时24小时有效。本活动真实有效，参与即可100%中奖！
spam	尊敬的用户，您已被选中参与【2023年度幸运抽奖】，点击链接立即领取10000元现金红包：http://www.luckysite123.com/claim?code=VIP2023  立即行动，名额仅剩最后3个！  【特别提示】本邮件含5条推广链接，包含金融投资、网购优惠等合作项目，点击前请确认安全性。
spam	尊敬的用户您好！本店特推出iPhone15首发特惠活动，原价9999元现仅需4499元！点击下方链接立即抢购：http://shortened link.com（注意：该链接可能携带恶意代码）  活动仅限24小时，数量有限，先到先得！ 客服热线：400-000-0000  （注：本邮件含3个可疑跳转链接及重复促销信息）
spam	点击下方链接立即注册，享受全年无限量下载特权！【https://shortened.com/vip2024】本活动仅限前1000名用户，中奖概率100%！【https://shortened.com/claim】警告：未及时领取将自动扣除每月50元服务费。
spam	尊敬的用户，您已被随机选中获得100万元现金奖励！请立即点击下方链接完成身份验证：[www.luckycash.com](http://www.luckycash.com)，本活动仅限24小时内有效！同时关注我们公众号可额外获得iPhone15一部！祝您好运！
spam	尊敬的用户您好！您的邮箱账户因未完成验证将在24小时内关闭。立即点击下方链接领取888元现金红包：http://shortener.com/vbnm1234（注意：此链接可能携带木马程序）  额外赠送：免费领取价值1999元的海外购物VIP会员 客服热线：400-123-5678（24小时）  邮件发送自：support@fraudulentmall.com
normal	尊敬的[张伟]先生/女士，您在2023年11月5日下单的商品（订单号：2023110501）已由顺丰快递发出，运单号：SF123456789。请于3日内通过【我的订单】核对物流信息。如有疑问请联系客服：400-800-1234。
normal	各位同事好，根据最新进度报告：1. 客户需求确认完成率92%；2. 开发阶段发现3处关键问题（详见附件）；3. 下周重点完成测试环境部署。请于周五前反馈意见至项目组。祝工作顺利！
spam	尊敬的用户，您的邮箱账户将在24小时内自动关闭！点击此处激活【VIP987654321】优惠码：http://abc123.com激活（链接已加密）！本活动仅限今日23:59前完成，逾期失效！祝您购物愉快！
normal	各位同事好，根据上周会议决定：<ol><li>技术部已完成需求文档V2.1</li><li>测试组将于下周三进行首轮压力测试</li><li>客户反馈表已同步至Confluence平台</li></ol>请各团队注意截止日期并保持沟通。
spam	点击链接立即领取：https://fake-gift.com?code=20241207  您已被选为幸运用户，3天内未领取将自动失效！  【限时福利】 🔥品牌联名款手机直降3000元 📱智能手表5折抢购 🎁全年免广告会员免费申领  立即点击：https://fake-promo.com 客服热线：400-888-XXXX
spam	点击链接立即注册：https://fakebonus.com 您已获得100%中奖机会！ 立即投资$5000可获3倍回报！ 重复内容：免费优惠限时发放中！
normal	各位同事好，2023Q3项目总结会议定于9月20日（周三）14:00-16:00在3F会议室举行，请携带项目文档准时参加。
spam	尊敬的用户，您的邮箱账户【abc123@163.com】将于2023-12-31 23:59失效。为感谢支持，现提供价值500美元的现金红包，点击链接激活：http://shortener.com/12345（注意：此链接可能携带恶意软件）
spam	尊敬的用户您好！您的账户将在24小时内停止服务，点击下方链接立即领取$500现金红包并激活账户：<a href='https://example1.com/redemption'>立即领取</a>。本活动仅限今日有效，错过不再有！<img src='https://example2.com/ad-image.jpg'>
spam	尊敬的用户您好！您已被系统随机抽取为幸运中奖者，请立即点击下方链接完成领奖流程：https://safebonus.com/claim?code=ABC123  本活动真实有效，未中奖用户可免费领取10元购物券（链接：https://freecoupon.com）。  注：中奖需在24小时内完成，逾期视为自动放弃！
spam	尊敬的用户，您的账户将于24小时内冻结！立即点击链接激活【优惠码SPAM2023】以领取50%现金返还：https://fraud.example.com/activate  （本邮件含3处隐藏链接）
normal	各位同事好，根据最新开发进展，移动端界面优化已完成测试（通过率98.7%），预计12月5日上线。附件为最新版本需求文档（v2.3），请于本周五前反馈意见。技术组将组织线下会议讨论安全协议升级方案，具体时间待定。
normal	各位同事，附件为最新项目甘特图，请注意以下节点： 1. 需求确认截止：2024-01-15 2. 开发阶段：1/16-2/10 3. 测试周期：2/11-2/25 请各小组按时提交进度报告。
spam	尊敬的用户，您的账户已累计获得5笔未领取奖金（总额￥25,800）。点击链接立即提现：https://safebonus.com/claim2023。本活动仅限24小时内有效，逾期自动作废！
normal	各位同事好！以下是本周项目进展: 1. 开发组已完成用户认证模块开发 2. 测试组发现3个关键Bug（详见附件） 3. 下周计划：优化支付接口响应速度  请于本周五前提交个人周报至OA系统  此邮件由公司内部系统自动发送
normal	尊敬的财务部同事：请查收附件中的2023年第三季度财务报告，如对数据有疑问请于10月30日前联系张会计（邮箱：zhangli@company.com）。会议时间：11月1日 14:00-16:00，地点：A栋3层会议室。
normal	各位同事好，这是本季度项目总结文档，请查收附件。同时快递公司通知：您的包裹（单号SF123456789）将于今日14:00前送达。如有疑问请联系行政部王经理。
normal	各位同事好！以下是本季度项目完成情况: 1. 完成客户管理系统V2.0开发 2. 完成第一阶段用户测试（覆盖率92%） 3. 下一步计划：2024年1月启动压力测试 附件：详细进度表.xlsx  请于2023-12-30前反馈修改意见
normal	各位同事，根据最新会议记录，Q1项目已完成以下节点：1）需求分析文档已通过评审（见附件）；2）技术方案定稿时间为12月15日；3）测试环境部署需协调运维部资源。请各部门于12月10日前反馈资源需求表至pm@company.com。
